"H","E","X","A","C","O","selfdirection","stimulation","hedonism","achievement","power","security","conformity","tradition","benevolence","universalism"
3.125,3.3125,3.5625,3.0625,3.6875,3.90625,5.33333333333333,5.66666666666667,3.66666666666667,4.66666666666667,3,4.5,2.5,1.66666666666667,5.5,5.66666666666667
3.40625,3.625,3.625,2.375,4.09375,4.40625,5.33333333333333,5,4.33333333333333,4.66666666666667,3.22222222222222,4.83333333333333,1.66666666666667,1,6,5.66666666666667
4.40625,3.53125,3.0625,2.96875,3.28125,3.8125,4.16666666666667,4,3,4,2.88888888888889,3.83333333333333,4.66666666666667,2.66666666666667,5,5
3.03125,3.78125,3.15625,3.09375,3.09375,3.125,4,4,5,3.33333333333333,3.88888888888889,4.5,4,4.66666666666667,4.83333333333333,5.11111111111111
3.1875,3.375,3.59375,3.03125,4,2.5,4.83333333333333,5,5,5,4.77777777777778,4.83333333333333,5,4.33333333333333,5.83333333333333,4.44444444444444
3.5625,2.1875,4,3.59375,3.1875,4.15625,5.5,5.33333333333333,5,4,3,3.5,4.33333333333333,1.66666666666667,5.83333333333333,5.66666666666667
3.625,2.34375,4.4375,3.03125,3.59375,4.375,5.83333333333333,6,4.33333333333333,5,4.33333333333333,2.66666666666667,1.66666666666667,1,4.83333333333333,5.33333333333333
4.25,3,3.90625,3.78125,3.84375,3.71875,4.83333333333333,3.33333333333333,2.66666666666667,4.66666666666667,2.44444444444444,4.16666666666667,3.66666666666667,4.66666666666667,5.66666666666667,5.11111111111111
4.03125,3.5,3.78125,2.90625,3.53125,3.3125,5,5,5,5,3.77777777777778,4.66666666666667,4.16666666666667,3.33333333333333,6,4.44444444444444
3.8125,3.5625,4.5,3,4.28125,3.40625,5.5,5.33333333333333,4.33333333333333,5.66666666666667,3.33333333333333,5.66666666666667,4.33333333333333,5.66666666666667,5.83333333333333,5.11111111111111
2.53125,3.15625,2.84375,2.40625,3.71875,4.53125,5.66666666666667,5,4,6,4.77777777777778,4.33333333333333,4.66666666666667,2.33333333333333,4.66666666666667,4.44444444444444
3.9375,3.46875,3.75,2.90625,3.8125,3.375,5.33333333333333,4,4,5.33333333333333,3.33333333333333,4.16666666666667,2.66666666666667,2.33333333333333,5.16666666666667,5
3.96875,3.59375,3.25,3.3125,3.03125,3,4.5,5.66666666666667,5,5.33333333333333,3.66666666666667,4.5,4.83333333333333,3.66666666666667,5,5
4.0625,3.28125,3.75,2.9375,4.28125,2.1875,4.33333333333333,2.33333333333333,4.66666666666667,4.66666666666667,2.44444444444444,4.5,4.33333333333333,2.33333333333333,5.83333333333333,3.77777777777778
3.71875,3.09375,3.59375,2.625,3.09375,4.03125,5.5,5,4,4.66666666666667,3.66666666666667,3.66666666666667,3.5,2.33333333333333,5,4
3.8125,2.5,3.3125,2.59375,3.46875,3.40625,3.83333333333333,3.33333333333333,2.33333333333333,3,2.44444444444444,3.33333333333333,2,2,4.66666666666667,4.11111111111111
3.4375,2.28125,4.09375,3.125,3.59375,3.6875,5.16666666666667,4.66666666666667,5,4.66666666666667,3.44444444444444,4.16666666666667,3,2.66666666666667,4.33333333333333,3.55555555555556
